customer_id,lon,lat,initial_inventory,min_inventory,tank_capacity,lead_time_days,service_time_h,holding_cost_vnd,time_window_start_h,time_window_end_h,demand_day0,demand_day1,demand_day2,demand_day3,demand_day4,demand_day5,demand_day6
0,105.86789,21.001234,89.0,19.0,155.0,18.0,0.25,431.0,14.0,18.0,21.0,16.0,15.0,11.0,9.0,13.0,15.0
1,105.864567,21.003456,122.0,24.0,239.0,18.0,0.25,443.0,14.0,18.0,45.0,28.0,36.0,23.0,19.0,20.0,22.0
2,105.872345,20.998901,65.0,30.0,170.0,18.0,0.25,249.0,14.0,18.0,31.0,13.0,21.0,12.0,21.0,18.0,16.0
3,105.878901,21.002345,139.0,39.0,236.0,18.0,0.25,161.0,14.0,18.0,24.0,20.0,27.0,21.0,17.0,16.0,25.0
4,105.848901,21.005678,90.0,29.0,169.0,12.0,0.25,340.0,8.0,12.0,35.0,23.0,21.0,24.0,33.0,23.0,19.0
5,105.845678,20.993456,140.0,48.0,271.0,18.0,0.25,148.0,14.0,18.0,35.0,28.0,39.0,26.0,17.0,16.0,41.0
6,105.84789,21.013456,35.0,12.0,80.0,18.0,0.25,246.0,14.0,18.0,11.0,6.0,6.0,10.0,5.0,5.0,8.0
7,105.843456,20.982345,63.0,26.0,166.0,18.0,0.25,483.0,14.0,18.0,14.0,16.0,15.0,18.0,25.0,17.0,20.0
8,105.838901,21.008901,39.0,14.0,119.0,18.0,0.25,498.0,14.0,18.0,8.0,15.0,12.0,11.0,12.0,14.0,20.0
9,105.836789,20.984567,127.0,25.0,223.0,18.0,0.25,409.0,14.0,18.0,17.0,25.0,21.0,23.0,34.0,29.0,37.0
10,105.846789,21.025678,90.0,35.0,207.0,18.0,0.25,224.0,14.0,18.0,23.0,19.0,22.0,26.0,25.0,17.0,25.0
11,105.836789,20.974567,81.0,33.0,225.0,18.0,0.25,375.0,14.0,18.0,23.0,45.0,37.0,16.0,19.0,14.0,18.0
12,105.828901,21.005678,62.0,25.0,157.0,12.0,0.25,382.0,8.0,12.0,18.0,23.0,13.0,13.0,9.0,15.0,12.0
13,105.823456,20.99789,126.0,47.0,267.0,18.0,0.25,255.0,14.0,18.0,22.0,20.0,25.0,15.0,17.0,49.0,18.0
14,105.826789,21.01789,88.0,41.0,248.0,18.0,0.25,356.0,14.0,18.0,20.0,48.0,66.0,20.0,25.0,31.0,47.0
15,105.839012,21.032345,45.0,12.0,80.0,18.0,0.25,104.0,14.0,18.0,4.0,5.0,7.0,7.0,5.0,6.0,4.0
16,105.835678,21.030123,42.0,12.0,80.0,18.0,0.25,184.0,14.0,18.0,6.0,6.0,7.0,6.0,8.0,9.0,7.0
17,105.82789,21.025678,101.0,25.0,195.0,18.0,0.25,310.0,14.0,18.0,29.0,26.0,26.0,21.0,28.0,25.0,48.0
18,105.830123,21.028901,72.0,17.0,168.0,18.0,0.25,166.0,14.0,18.0,26.0,18.0,13.0,12.0,23.0,18.0,19.0
19,105.812345,21.015678,41.0,12.0,83.0,18.0,0.25,166.0,14.0,18.0,5.0,11.0,10.0,6.0,7.0,9.0,9.0
20,105.818901,21.038901,101.0,26.0,212.0,18.0,0.25,435.0,14.0,18.0,19.0,20.0,20.0,22.0,33.0,10.0,20.0
21,105.81789,21.016789,73.0,21.0,148.0,18.0,0.25,496.0,14.0,18.0,18.0,19.0,15.0,10.0,19.0,29.0,11.0
22,105.816789,21.028901,41.0,23.0,125.0,18.0,0.25,322.0,14.0,18.0,15.0,10.0,11.0,8.0,10.0,17.0,14.0
23,105.839012,21.056789,86.0,25.0,203.0,18.0,0.25,436.0,14.0,18.0,32.0,27.0,22.0,32.0,22.0,25.0,17.0
24,105.808901,21.033456,25.0,8.0,80.0,18.0,0.25,496.0,14.0,18.0,8.0,6.0,10.0,5.0,10.0,7.0,11.0
25,105.804567,21.035678,90.0,26.0,200.0,18.0,0.25,157.0,14.0,18.0,31.0,43.0,31.0,16.0,24.0,17.0,21.0
26,105.801234,21.034567,59.0,19.0,147.0,18.0,0.25,279.0,14.0,18.0,26.0,20.0,13.0,12.0,16.0,11.0,13.0
27,105.801234,21.035678,32.0,15.0,93.0,18.0,0.25,257.0,14.0,18.0,14.0,18.0,15.0,6.0,14.0,13.0,14.0
28,105.798901,21.033456,26.0,12.0,80.0,12.0,0.25,132.0,8.0,12.0,8.0,3.0,4.0,6.0,3.0,7.0,5.0
29,105.788901,20.978901,99.0,37.0,207.0,18.0,0.25,402.0,14.0,18.0,27.0,18.0,27.0,29.0,23.0,23.0,23.0
30,105.792345,21.025678,51.0,24.0,144.0,18.0,0.25,274.0,14.0,18.0,11.0,14.0,14.0,16.0,19.0,10.0,14.0
31,105.794567,21.031234,114.0,28.0,197.0,18.0,0.25,288.0,14.0,18.0,28.0,15.0,14.0,19.0,23.0,18.0,27.0
32,105.798901,21.041234,108.0,41.0,228.0,12.0,0.25,160.0,8.0,12.0,35.0,34.0,32.0,54.0,25.0,15.0,43.0
33,105.792345,21.030123,34.0,10.0,83.0,18.0,0.25,172.0,14.0,18.0,8.0,10.0,14.0,6.0,7.0,6.0,8.0
34,105.790123,21.028901,103.0,22.0,216.0,18.0,0.25,463.0,14.0,18.0,27.0,28.0,26.0,16.0,12.0,24.0,21.0
35,105.821234,21.066789,56.0,20.0,184.0,18.0,0.25,118.0,14.0,18.0,26.0,28.0,24.0,29.0,25.0,27.0,19.0
36,105.784567,20.975678,47.0,14.0,80.0,18.0,0.25,193.0,14.0,18.0,9.0,10.0,12.0,8.0,11.0,9.0,9.0
37,105.782345,21.011234,81.0,27.0,182.0,12.0,0.25,217.0,8.0,12.0,26.0,11.0,14.0,13.0,10.0,16.0,25.0
38,105.778901,20.982345,83.0,18.0,156.0,18.0,0.25,296.0,14.0,18.0,18.0,20.0,27.0,28.0,19.0,29.0,20.0
39,105.785678,21.041234,91.0,42.0,280.0,18.0,0.25,335.0,14.0,18.0,22.0,24.0,18.0,22.0,26.0,36.0,48.0
40,105.773456,20.965678,87.0,23.0,196.0,18.0,0.25,297.0,14.0,18.0,15.0,25.0,16.0,25.0,21.0,13.0,29.0
41,105.770123,21.028901,89.0,34.0,198.0,12.0,0.25,134.0,8.0,12.0,16.0,16.0,14.0,16.0,22.0,18.0,21.0
42,105.762345,20.971234,121.0,30.0,208.0,18.0,0.25,197.0,14.0,18.0,23.0,31.0,19.0,14.0,29.0,19.0,29.0
43,105.775678,21.062345,76.0,22.0,162.0,18.0,0.25,437.0,14.0,18.0,21.0,18.0,21.0,34.0,36.0,20.0,20.0
44,105.750123,20.976789,92.0,27.0,208.0,18.0,0.25,355.0,14.0,18.0,28.0,16.0,22.0,20.0,22.0,16.0,12.0
45,105.758901,21.046789,41.0,18.0,108.0,18.0,0.25,360.0,14.0,18.0,6.0,8.0,9.0,10.0,19.0,15.0,8.0
46,105.781234,21.078901,90.0,31.0,226.0,18.0,0.25,368.0,14.0,18.0,29.0,23.0,24.0,27.0,31.0,23.0,36.0
47,105.780123,21.082345,95.0,23.0,208.0,18.0,0.25,405.0,14.0,18.0,18.0,25.0,54.0,27.0,38.0,26.0,30.0
48,105.745678,21.036789,85.0,22.0,197.0,18.0,0.25,123.0,14.0,18.0,20.0,19.0,16.0,23.0,16.0,25.0,28.0
49,105.715678,21.089012,25.0,16.0,80.0,18.0,0.25,247.0,14.0,18.0,7.0,6.0,8.0,6.0,9.0,4.0,6.0
