customer_id,lon,lat,initial_inventory,min_inventory,tank_capacity,lead_time_days,service_time_h,holding_cost_vnd,time_window_start_h,time_window_end_h,demand_day0,demand_day1,demand_day2,demand_day3,demand_day4,demand_day5,demand_day6
0,105.872345,20.998901,37.0,16.0,80.0,18.0,0.25,104.0,14.0,18.0,17.0,7.0,9.0,12.0,6.0,7.0,9.0
1,105.861234,21.004567,63.0,24.0,210.0,18.0,0.25,189.0,14.0,18.0,20.0,19.0,19.0,22.0,18.0,33.0,17.0
2,105.846789,21.001234,101.0,44.0,259.0,12.0,0.25,210.0,8.0,12.0,42.0,38.0,31.0,25.0,28.0,40.0,38.0
3,105.844567,20.99789,63.0,29.0,200.0,18.0,0.25,413.0,14.0,18.0,24.0,31.0,22.0,38.0,40.0,20.0,33.0
4,105.84789,20.984567,79.0,17.0,168.0,18.0,0.25,477.0,14.0,18.0,36.0,16.0,16.0,14.0,18.0,9.0,15.0
5,105.844567,21.006789,112.0,25.0,192.0,18.0,0.25,429.0,14.0,18.0,15.0,20.0,23.0,21.0,35.0,15.0,18.0
6,105.836789,20.984567,70.0,19.0,136.0,18.0,0.25,287.0,14.0,18.0,10.0,15.0,12.0,14.0,26.0,14.0,16.0
7,105.826789,21.006789,45.0,11.0,80.0,18.0,0.25,210.0,14.0,18.0,8.0,8.0,9.0,9.0,6.0,7.0,6.0
8,105.818901,20.994567,79.0,33.0,170.0,18.0,0.25,230.0,14.0,18.0,11.0,19.0,20.0,17.0,22.0,8.0,23.0
9,105.830123,21.028901,79.0,32.0,190.0,18.0,0.25,348.0,14.0,18.0,15.0,12.0,14.0,13.0,16.0,20.0,22.0
10,105.822345,21.018901,90.0,21.0,187.0,18.0,0.25,304.0,14.0,18.0,13.0,15.0,28.0,28.0,21.0,23.0,13.0
11,105.816789,21.012345,42.0,11.0,80.0,12.0,0.25,397.0,8.0,12.0,8.0,8.0,6.0,10.0,8.0,8.0,10.0
12,105.808901,21.012345,48.0,14.0,80.0,18.0,0.25,262.0,14.0,18.0,6.0,8.0,3.0,5.0,6.0,5.0,5.0
13,105.806789,21.002345,71.0,14.0,125.0,18.0,0.25,151.0,14.0,18.0,10.0,9.0,11.0,22.0,12.0,15.0,12.0
14,105.801234,21.035678,47.0,11.0,103.0,18.0,0.25,492.0,14.0,18.0,7.0,14.0,9.0,8.0,8.0,7.0,13.0
15,105.785678,21.041234,29.0,11.0,80.0,18.0,0.25,415.0,14.0,18.0,8.0,10.0,10.0,11.0,6.0,13.0,15.0
16,105.774567,20.966789,39.0,14.0,100.0,18.0,0.25,347.0,14.0,18.0,13.0,18.0,9.0,12.0,9.0,16.0,14.0
17,105.758901,20.992345,71.0,23.0,129.0,12.0,0.25,371.0,8.0,12.0,16.0,17.0,12.0,19.0,20.0,12.0,19.0
18,105.762345,21.034567,99.0,28.0,279.0,18.0,0.25,466.0,14.0,18.0,30.0,34.0,18.0,26.0,40.0,39.0,26.0
19,105.752345,21.064567,32.0,13.0,91.0,18.0,0.25,142.0,14.0,18.0,10.0,11.0,7.0,8.0,6.0,12.0,12.0
