customer_id,lon,lat,initial_inventory,min_inventory,tank_capacity,lead_time_days,service_time_h,holding_cost_vnd,time_window_start_h,time_window_end_h,demand_day0,demand_day1,demand_day2,demand_day3,demand_day4,demand_day5,demand_day6
0,105.872345,20.998901,27.0,10.0,84.0,18.0,0.25,224.0,14.0,18.0,7.0,7.0,8.0,7.0,6.0,13.0,10.0
1,105.861234,21.004567,78.0,19.0,165.0,18.0,0.25,171.0,14.0,18.0,18.0,24.0,19.0,21.0,25.0,29.0,35.0
2,105.846789,21.001234,87.0,35.0,233.0,12.0,0.25,207.0,8.0,12.0,48.0,27.0,25.0,30.0,30.0,23.0,24.0
3,105.844567,20.99789,105.0,31.0,199.0,18.0,0.25,441.0,14.0,18.0,32.0,41.0,23.0,20.0,23.0,18.0,23.0
4,105.84789,20.984567,51.0,17.0,145.0,18.0,0.25,498.0,14.0,18.0,21.0,18.0,26.0,19.0,21.0,17.0,27.0
5,105.844567,21.006789,97.0,25.0,246.0,18.0,0.25,248.0,14.0,18.0,17.0,22.0,17.0,31.0,31.0,20.0,39.0
6,105.836789,20.984567,53.0,26.0,174.0,18.0,0.25,285.0,14.0,18.0,15.0,11.0,15.0,18.0,15.0,32.0,21.0
7,105.826789,21.006789,25.0,14.0,80.0,18.0,0.25,234.0,14.0,18.0,13.0,12.0,5.0,7.0,3.0,6.0,11.0
8,105.818901,20.994567,84.0,36.0,188.0,18.0,0.25,246.0,14.0,18.0,14.0,15.0,20.0,23.0,16.0,17.0,23.0
9,105.830123,21.028901,85.0,31.0,192.0,18.0,0.25,375.0,14.0,18.0,20.0,17.0,20.0,19.0,20.0,33.0,17.0
10,105.822345,21.018901,56.0,32.0,167.0,18.0,0.25,394.0,14.0,18.0,15.0,28.0,15.0,30.0,17.0,19.0,23.0
11,105.816789,21.012345,30.0,15.0,80.0,12.0,0.25,227.0,8.0,12.0,11.0,10.0,7.0,7.0,8.0,8.0,6.0
12,105.808901,21.012345,24.0,10.0,80.0,18.0,0.25,158.0,14.0,18.0,5.0,6.0,5.0,8.0,5.0,5.0,5.0
13,105.806789,21.002345,39.0,17.0,93.0,18.0,0.25,383.0,14.0,18.0,10.0,8.0,13.0,9.0,10.0,11.0,13.0
14,105.801234,21.035678,50.0,18.0,106.0,18.0,0.25,276.0,14.0,18.0,12.0,11.0,6.0,10.0,8.0,10.0,14.0
15,105.785678,21.041234,39.0,12.0,92.0,18.0,0.25,467.0,14.0,18.0,12.0,10.0,11.0,6.0,10.0,12.0,8.0
16,105.774567,20.966789,73.0,24.0,133.0,18.0,0.25,264.0,14.0,18.0,14.0,11.0,17.0,17.0,11.0,19.0,12.0
17,105.758901,20.992345,53.0,20.0,109.0,12.0,0.25,111.0,8.0,12.0,25.0,12.0,14.0,14.0,11.0,8.0,11.0
18,105.762345,21.034567,112.0,38.0,294.0,18.0,0.25,390.0,14.0,18.0,40.0,26.0,26.0,45.0,33.0,35.0,37.0
19,105.752345,21.064567,43.0,12.0,80.0,18.0,0.25,494.0,14.0,18.0,7.0,9.0,9.0,8.0,6.0,10.0,5.0
